"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"Surprise PD",0,0,0,12,12,169,16,2,12,2022,"Arizona"
"Tempe PD",0,8,12,65,78,534,75,2,12,2022,"Arizona"
"Lake Havasu City PD",0,1,0,5,9,44,9,0,12,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,12,2022,"Arizona"
"Marana PD",0,1,0,3,7,100,1,1,12,2022,"Arizona"
"Casa Grande PD",0,1,4,13,11,88,23,0,12,2022,"Arizona"
"Maricopa PD",1,0,1,17,5,38,11,1,12,2022,"Arizona"
"Yuma PD",0,4,6,29,31,91,18,1,12,2022,"Arizona"
"Flagstaff PD",0,6,1,20,14,98,6,0,1,2023,"Arizona"
"Avondale PD",0,4,13,26,18,146,16,0,1,2023,"Arizona"
"Buckeye PD",2,7,2,15,10,64,6,1,1,2023,"Arizona"
"Chandler PD",1,5,6,26,19,295,22,2,1,2023,"Arizona"
"Gilbert PD",0,8,5,21,17,166,13,0,1,2023,"Arizona"
"Glendale PD",0,19,26,117,64,505,209,3,1,2023,"Arizona"
"Goodyear PD",0,5,4,14,21,130,19,1,1,2023,"Arizona"
"Mesa PD",3,12,28,140,83,522,74,4,1,2023,"Arizona"
"Queen Creek Police Department",0,0,1,5,18,58,5,0,1,2023,"Arizona"
"Peoria PD",0,6,11,18,29,178,19,0,1,2023,"Arizona"
"Phoenix PD",12,92,213,694,495,NA,705,15,1,2023,"Arizona"
"Scottsdale PD",1,6,2,21,50,359,20,2,1,2023,"Arizona"
"Surprise PD",0,6,0,6,8,121,17,0,1,2023,"Arizona"
"Tempe PD",2,11,7,66,83,594,66,3,1,2023,"Arizona"
"Lake Havasu City PD",0,6,0,17,5,49,1,2,1,2023,"Arizona"
"Tucson PD",4,35,50,195,225,597,193,11,1,2023,"Arizona"
"Marana PD",0,1,0,5,5,84,4,0,1,2023,"Arizona"
"Casa Grande PD",0,3,1,24,18,69,20,1,1,2023,"Arizona"
"Maricopa PD",0,0,1,22,8,40,3,0,1,2023,"Arizona"
"Yuma PD",2,0,8,53,41,80,16,1,1,2023,"Arizona"
"Flagstaff PD",0,3,2,6,12,83,4,0,2,2023,"Arizona"
"Avondale PD",2,5,9,32,15,155,21,0,2,2023,"Arizona"
"Buckeye PD",0,5,2,10,4,56,10,0,2,2023,"Arizona"
"Chandler PD",1,10,4,19,30,286,33,0,2,2023,"Arizona"
"Gilbert PD",0,6,1,23,17,187,12,0,2,2023,"Arizona"
"Glendale PD",0,15,22,81,62,363,95,3,2,2023,"Arizona"
"Goodyear PD",0,2,2,18,22,113,12,1,2,2023,"Arizona"
"Mesa PD",4,21,22,131,73,445,91,4,2,2023,"Arizona"
"Queen Creek Police Department",0,1,0,10,4,49,2,0,2,2023,"Arizona"
"Peoria PD",1,3,5,29,19,166,22,0,2,2023,"Arizona"
"Phoenix PD",17,81,207,686,462,NA,584,9,2,2023,"Arizona"
"Scottsdale PD",0,15,1,20,47,476,39,1,2,2023,"Arizona"
"Surprise PD",0,2,0,11,9,133,18,2,2,2023,"Arizona"
"Tempe PD",0,13,14,43,67,508,53,1,2,2023,"Arizona"
"Lake Havasu City PD",0,2,0,10,5,40,2,1,2,2023,"Arizona"
"Tucson PD",3,31,45,155,178,487,214,10,2,2023,"Arizona"
"Marana PD",0,0,0,2,2,83,3,1,2,2023,"Arizona"
"Casa Grande PD",0,0,3,9,13,57,6,3,2,2023,"Arizona"
"Maricopa PD",0,0,1,7,4,45,4,1,2,2023,"Arizona"
"Yuma PD",0,1,4,31,35,67,9,2,2,2023,"Arizona"
"Flagstaff PD",1,6,2,12,21,102,8,1,3,2023,"Arizona"
"Avondale PD",1,4,8,27,11,140,24,1,3,2023,"Arizona"
"Buckeye PD",0,3,0,10,5,73,16,0,3,2023,"Arizona"
"Chandler PD",1,12,9,25,33,328,23,0,3,2023,"Arizona"
"Gilbert PD",0,11,1,24,29,212,19,1,3,2023,"Arizona"
"Glendale PD",0,7,17,96,69,434,99,2,3,2023,"Arizona"
"Goodyear PD",0,0,3,8,18,138,10,0,3,2023,"Arizona"
"Mesa PD",2,21,20,140,86,512,72,4,3,2023,"Arizona"
"Queen Creek Police Department",0,0,0,7,6,35,5,0,3,2023,"Arizona"
"Peoria PD",2,3,3,27,28,162,17,0,3,2023,"Arizona"
"Phoenix PD",17,103,231,772,491,NA,602,17,3,2023,"Arizona"
"Scottsdale PD",0,7,6,15,35,443,35,0,3,2023,"Arizona"
"Surprise PD",1,2,3,8,11,136,9,1,3,2023,"Arizona"
"Tempe PD",2,10,10,77,99,492,51,2,3,2023,"Arizona"
"Lake Havasu City PD",0,0,0,7,10,35,5,0,3,2023,"Arizona"
"Tucson PD",8,38,61,150,195,551,190,12,3,2023,"Arizona"
"Marana PD",1,1,3,1,5,84,1,0,3,2023,"Arizona"
"Casa Grande PD",1,3,5,13,13,79,14,1,3,2023,"Arizona"
"Maricopa PD",0,0,0,15,5,25,3,1,3,2023,"Arizona"
"Yuma PD",0,0,3,29,42,69,21,1,3,2023,"Arizona"
"Flagstaff PD",0,5,2,25,20,116,6,3,4,2023,"Arizona"
"Avondale PD",1,5,3,39,14,161,23,1,4,2023,"Arizona"
"Buckeye PD",0,7,0,15,13,70,12,1,4,2023,"Arizona"
"Chandler PD",1,6,3,33,35,292,30,1,4,2023,"Arizona"
"Gilbert PD",0,6,2,16,10,161,11,1,4,2023,"Arizona"
"Glendale PD",1,12,20,82,67,402,82,4,4,2023,"Arizona"
"Goodyear PD",0,1,0,13,20,125,6,0,4,2023,"Arizona"
"Mesa PD",5,19,27,149,83,515,104,5,4,2023,"Arizona"
"Queen Creek Police Department",0,0,0,8,4,72,4,0,4,2023,"Arizona"
"Peoria PD",0,4,4,27,20,157,17,1,4,2023,"Arizona"
"Phoenix PD",16,92,222,810,432,NA,687,17,4,2023,"Arizona"
"Scottsdale PD",0,12,4,21,45,380,33,0,4,2023,"Arizona"
"Surprise PD",0,0,1,11,18,163,17,0,4,2023,"Arizona"
"Tempe PD",1,14,10,66,62,496,65,0,4,2023,"Arizona"
