"","pds","Total","Note"
"95","Denton,TX,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"96","Greensboro,NC,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"97","Hamden,CT,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1"
"98","Jefferson,MO,County",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1"
"99","Joplin,MO,City",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"100","Kalamazoo,MI,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"101","Little Rock,AR,City",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"102","Los Angeles,CA,County",5,"Rape_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"103","Montgomery,MD,County",5,"Rape_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"104","Newark,NJ,City",5,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Robbery_pri1 | Agg.Assault_pri1"
"105","Norfolk,VA,City",5,"Agg.Assault_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"106","Richmond,VA,City",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"107","Rockford,IL,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Burglary_pri1"
"108","Salt Lake City,UT,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1"
"109","St Joseph,MO,City",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Burglary_pri1 | MVT_pri1"
"110","State Sample Counts_AR",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"111","State Sample Counts_DC",5,"Robbery_pri8 | Agg.Assault_pri8 | Theft_pri8 | Robbery_pri1 | Theft_pri1"
"112","State Sample Counts_HI",5,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1"
"113","State Sample Counts_ID",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"114","State Sample Counts_NJ",5,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Robbery_pri1 | Agg.Assault_pri1"
"115","State Sample Counts_RI",5,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"116","State Sample Counts_UT",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1"
"117","Virginia Beach,VA,City",5,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"118","Washington,DC,City",5,"Robbery_pri8 | Agg.Assault_pri8 | Theft_pri8 | Robbery_pri1 | Theft_pri1"
"119","Battle Creek,MI,City",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"120","Bloomington,MN,City",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"121","Cleveland,OH,City",4,"Agg.Assault_pri8 | Burglary_pri8 | Agg.Assault_pri1 | Theft_pri1"
"122","Corpus Christi,TX,City",4,"Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | MVT_pri1"
"123","Douglas,CO,County",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"124","El Paso,CO,County",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"125","El Paso,TX,City",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"126","Euclid,OH,City",4,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1"
"127","Fargo,ND,City",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"128","Frisco,TX,City",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"129","Grand Rapids,MI,City",4,"Burglary_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"130","Independence,MO,City",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"131","Lincoln,NE,City",4,"Rape_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1"
"132","Manchester,NH,City",4,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"133","Meriden,CT,City",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"134","Prince William,VA,County",4,"Burglary_pri8 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"135","Richmond,CA,City",4,"Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | MVT_pri1"
"136","San Angelo,TX,City",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"137","San Jose,CA,City",4,"Rape_pri8 | MVT_pri8 | Agg.Assault_pri1 | MVT_pri1"
"138","State Sample Counts_NH",4,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"139","Tempe,AZ,City",4,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1"
"140","Thornton,CO,City",4,"Burglary_pri8 | Theft_pri8 | MVT_pri8 | Theft_pri1"
"141","Vallejo,CA,City",4,"Burglary_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"142","Waterbury,CT,City",4,"Theft_pri8 | MVT_pri8 | Theft_pri1 | MVT_pri1"
"143","Westminster,CO,City",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"144","Albany,GA,City",3,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8"
"145","Alexandria,VA,City",3,"MVT_pri8 | Theft_pri1 | MVT_pri1"
"146","Allentown,PA,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"147","Antioch,CA,City",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"148","Arapahoe,CO,County",3,"Theft_pri8 | MVT_pri8 | MVT_pri1"
"149","Boise,ID,City",3,"Burglary_pri8 | Theft_pri8 | MVT_pri1"
"150","Boulder,CO,City",3,"Theft_pri8 | MVT_pri8 | MVT_pri1"
"151","Brooklyn Park,MN,City",3,"Burglary_pri8 | Theft_pri8 | Burglary_pri1"
"152","Chandler,AZ,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"153","Chesapeake,VA,City",3,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1"
