"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"84","Dearborn Heights, MI","Dearborn Heights",0,4,1,10,9,58,27,2022,12,"MI",15,94,"Dearborn Heights","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,61420,NA,NA,"","Dearborn Heights","MI","Midwest","East North Central","City",61420,"MI"
"85","Dearborn, MI","Dearborn",0,0,3,12,17,125,25,2021,12,"MI",15,167,"Dearborn","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,106747,NA,NA,"","Dearborn","MI","Midwest","East North Central","City",106747,"MI"
"86","Decatur, IL","Decatur",0,1,8,19,61,125,6,2017,1,"IL",28,192,"Decatur","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68789,68301,NA,NA,"","Decatur","IL","Midwest","East North Central","City",68301,"IL"
"87","Denton, TX","Denton",1,15,6,21,25,229,21,2024,1,"TX",43,275,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",154230,155215,NA,NA,"","Denton","TX","South","West South Central","City",155215,"TX"
"88","Denver, CO","Denver",3,39,121,429,484,1939,960,2020,10,"CO",592,3383,"Denver","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",705264,712222,NA,NA,"","Denver","CO","West","Mountain","City",712222,"CO"
"89","Desoto, TX","Desoto",0,6,4,13,11,46,11,2024,1,"TX",23,68,"Desoto","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55956,56257,NA,NA,"","DeSoto","TX","South","West South Central","City",56257,"TX"
"90","Detroit, MI","Detroit",22,65,229,557,772,1059,739,2017,1,"MI",873,2570,"Detroit","https://data.detroitmi.gov/datasets/rms-crime-incidents","Agency RMS","Open Source",626757,615501,NA,NA,"","Detroit","MI","Midwest","East North Central","City",615501,"MI"
"91","Dublin, OH","Dublin",0,1,1,1,7,33,2,2023,3,"OH",3,42,"Dublin","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48799,48799,NA,NA,"","Dublin","OH","Midwest","East North Central","City",48827,"OH"
"92","Duluth, MN","Duluth",4,4,5,12,21,204,17,2022,4,"MN",25,242,"Duluth","https://cde.state.mn.us/","State UCR","Open Source",86144,86570,NA,NA,"","Duluth","MN","Midwest","West North Central","City",86570,"MN"
"93","Dunwoody, GA","Dunwoody",0,1,0,3,9,138,14,2017,1,"GA",4,161,"Dunwoody","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison","Agency Aggregated","Open Source",50271,52505,NA,NA,"","Dunwoody","GA","South","South Atlantic","City",52505,"GA"
