"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"207","Phoenix, AZ","Phoenix",16,74,155,587,467,2152,561,2020,7,"AZ",1637902,"1660686",832,3180,1
"208","Pittsburgh, PA","Pittsburgh",2,NA,NA,NA,NA,NA,NA,2021,9,"PA",303137,"304825",2,0,1
"209","Plano, TX","Plano",2,2,6,15,66,301,27,2017,4,"TX",289847,"291140",25,394,1
"210","Plymouth, MN","Plymouth",0,1,2,1,13,66,3,2018,8,"MN",78585,"77576",4,82,1
"211","Pocatello, ID","Pocatello",0,3,1,16,12,24,8,2022,3,"ID",57914,"58390",20,44,1
"212","Port Arthur, TX","Port Arthur",1,4,6,20,10,56,8,2024,6,"TX",55899,"55371",31,74,1
"213","Portland, OR","Portland",0,33,73,145,321,1863,539,2018,4,"OR",630129,"626146",251,2723,1
"214","Prescott Valley, AZ","Prescott Valley",0,1,0,7,5,27,2,2022,7,"AZ",50166,"50166",8,34,1
"215","Pueblo, CO","Pueblo",1,0,14,72,80,273,82,2020,9,"CO",112618,"111240",87,435,1
"216","Quincy, MA","Quincy",0,1,5,31,26,80,17,2022,5,"MA",101434,"102465",37,123,1
"217","Raleigh, NC","Raleigh",2,5,28,66,156,645,81,2017,3,"NC",470829,"482842",101,882,1
"218","Reading, PA","Reading",1,4,21,21,33,90,13,2019,1,"PA",97698,"97790",47,136,1
"219","Redlands, CA","Redlands",1,1,8,10,25,95,44,2020,12,"CA",73554,"74147",20,164,1
"220","Reno, NV","Reno",2,22,22,80,102,413,86,2022,1,"NV",273671,"277792",126,601,1
"221","Revere, MA","Revere",0,2,0,12,3,16,8,2020,6,"MA",56961,"57132",14,27,1
"222","Richardson, TX","Richardson",1,3,3,2,26,166,14,2019,4,"TX",115771,"119008",9,206,1
"223","Richmond, CA","Richmond",2,3,18,73,20,133,137,2020,8,"CA",115043,"113282",96,290,1
"224","Richmond, VA","Richmond",4,10,39,39,59,466,90,2020,12,"VA",227323,"230789",92,615,1
"225","Riverside, CA","Riverside",1,NA,43,74,134,533,139,2017,6,"CA",319889,"323473",118,806,1
"226","Rochester, MN","Rochester",2,4,8,18,18,182,8,2020,9,"MN",121534,"122035",32,208,1
"227","Rochester, NY","Rochester",0,NA,70,39,97,NA,38,2017,1,"NY",210270,"208452",109,135,1
"228","Rockford, IL","Rockford",3,5,20,152,52,296,69,2022,7,"IL",146710,"145873",180,417,1
"229","Rockwall, TX","Rockwall",0,2,3,2,5,54,4,2020,1,"TX",51724,"53433",7,63,1
"230","Round Rock, TX","Round Rock",0,3,8,10,20,180,5,2019,1,"TX",127349,"129898",21,205,1
"231","Rowlett, TX","Rowlett",1,1,1,7,10,52,6,2023,2,"TX",65196,"66671",10,68,1
"232","Salt Lake City, UT","Salt Lake City",1,21,29,78,140,720,90,2018,5,"UT",201373,"206692",129,950,1
"233","San Angelo, TX","San Angelo",3,10,2,18,19,201,23,2020,10,"TX",99243,"98642",33,243,1
"234","San Antonio, TX","San Antonio",14,NA,218,514,706,3936,758,2020,1,"TX",1465608,"1490047",746,5400,1
"235","San Diego, CA","San Diego",4,54,139,274,316,1555,306,2017,8,"CA",1377838,"1378349",471,2177,1
"236","San Francisco, CA","San Francisco",3,10,238,185,760,1861,584,2020,12,"CA",764693,"782846",436,3205,1
"237","San Marcos, TX","San Marcos",0,7,3,9,22,106,12,2020,1,"TX",69470,"71413",19,140,1
"238","Schaumburg, IL","Schaumburg",1,0,2,7,11,107,4,2017,4,"IL",75745,"75140",10,122,1
"239","Scottsdale, AZ","Scottsdale",1,16,11,24,51,419,25,2021,7,"AZ",243576,"243644",52,495,1
"240","Scranton, PA","Scranton",0,7,0,17,16,91,6,2022,4,"PA",75798,"75687",24,113,1
"241","Seattle, WA","Seattle",2,23,141,187,641,2213,248,2017,4,"WA",729691,"753786",353,3102,1
"242","Skokie, IL","Skokie",0,1,1,4,25,142,9,2018,3,"IL",65185,"64417",6,176,1
"243","Somerville, MA","Somerville",0,0,1,10,15,87,18,2023,6,"MA",79178,"79513",11,120,1
"244","South Bend, IN","South Bend",2,9,27,53,129,313,41,2017,5,"IN",103179,"102999",91,483,1
"245","Southaven, MS","Southaven",0,1,4,13,14,122,39,2020,12,"MS",56092,"57135",18,175,1
"246","Sparks, NV","Sparks",0,9,9,18,34,121,58,2019,1,"NV",110475,"109403",36,213,1
"247","Springfield, IL","Springfield",0,2,17,69,86,357,47,2023,6,"IL",112549,"112781",88,490,1
"248","Springfield, MA","Springfield",8,7,36,86,48,280,165,2023,6,"MA",155046,"154218",137,493,1
"249","Springfield, OH","Springfield",1,13,11,57,45,147,29,2023,1,"OH",58725,"57866",82,221,1
"250","St Charles, MO","St Charles",1,3,1,6,12,89,14,2018,11,"MO",71079,"71408",11,115,1
"251","St Joseph, MO","St Joseph",1,15,2,30,34,157,21,2021,2,"MO",70918,"69925",48,212,1
"252","St Louis, MO","St Louis",10,20,88,211,190,760,156,2018,2,"MO",286053,"280108",329,1106,1
"253","St Peters, MO","St Peters",0,1,0,8,7,51,8,2020,4,"MO",58584,"58937",9,66,1
"254","St. Cloud, MN","St. Cloud",0,2,1,33,10,131,13,2024,2,"MN",NA,NA,36,154,1
"255","St. Paul, MN","St. Paul",4,15,36,128,121,703,298,2021,12,"MN",277533,"300368",183,1122,1
"256","Stamford, CT","Stamford",0,5,11,19,24,154,26,2017,7,"CT",136936,"136512",35,204,1
"257","State College, PA","State College",0,1,1,2,2,26,3,2019,2,"PA",55998,"58532",4,31,1
"258","Stockton, CA","Stockton",2,7,95,191,142,384,176,2024,8,"CA",323501,"322220",295,702,1
"259","Stratford, CT","Stratford",0,1,0,0,2,68,5,2022,5,"CT",52320,"52596",1,75,1
"260","Sugar Land, TX","Sugar Land",1,1,3,1,4,99,8,2023,4,"TX",107989,"108718",6,111,1
"261","Surprise, AZ","Surprise",0,2,3,4,28,152,9,2017,2,"AZ",154128,"159346",9,189,1
"262","Tacoma, WA","Tacoma",1,NA,46,117,158,691,173,2017,12,"WA",219027,"222828",164,1022,1
"263","Taunton, MA","Taunton",0,0,1,15,5,30,4,2023,12,"MA",60062,"60356",16,39,1
"264","Tempe, AZ","Tempe",2,9,17,34,77,492,35,2019,12,"AZ",187473,"188144",62,604,1
