"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","Source","city_state","city_state_id","Agency_Type"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Plymouth,MA","Plymouth,MA,City","City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Plymouth,MA","Plymouth,MA,City","City"
"Somerville",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Somerville,MA","Somerville,MA,City","City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Springfield,MA","Springfield,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,1,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,2,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,5,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,6,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,7,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,8,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,9,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,11,"MA","City","Manual","Worcester,MA","Worcester,MA,City","City"
"Howard",NA,NA,NA,NA,NA,NA,NA,2025,7,"MD","County","CDE","Howard,MD","Howard,MD,County","County"
"Howard",NA,NA,NA,NA,NA,NA,NA,2025,8,"MD","County","CDE","Howard,MD","Howard,MD,County","County"
"Howard",NA,NA,NA,NA,NA,NA,NA,2025,9,"MD","County","CDE","Howard,MD","Howard,MD,County","County"
"Howard",NA,NA,NA,NA,NA,NA,NA,2025,10,"MD","County","CDE","Howard,MD","Howard,MD,County","County"
"Howard",NA,NA,NA,NA,NA,NA,NA,2025,11,"MD","County","CDE","Howard,MD","Howard,MD,County","County"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,4,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,9,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,10,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,11,"MI","City","CDE","Kentwood,MI","Kentwood,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,5,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,6,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,7,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,8,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,9,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,10,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,11,"MI","City","CDE","Lansing,MI","Lansing,MI,City","City"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,9,"MI","County","CDE","Ottawa,MI","Ottawa,MI,County","County"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,10,"MI","County","CDE","Ottawa,MI","Ottawa,MI,County","County"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,11,"MI","County","CDE","Ottawa,MI","Ottawa,MI,County","County"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,4,"MO","City","Scrape","Florissant,MO","Florissant,MO,City","City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,9,"MO","City","Scrape","Florissant,MO","Florissant,MO,City","City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,10,"MO","City","Scrape","Florissant,MO","Florissant,MO,City","City"
"Florissant",NA,NA,NA,NA,NA,NA,NA,2025,11,"MO","City","Scrape","Florissant,MO","Florissant,MO,City","City"
"Joplin",NA,NA,NA,NA,NA,NA,NA,2025,11,"MO","City","Scrape","Joplin,MO","Joplin,MO,City","City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,11,"MO","City","Scrape","Springfield,MO","Springfield,MO,City","City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,6,"NC","City","Manual","Apex,NC","Apex,NC,City","City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,7,"NC","City","Manual","Apex,NC","Apex,NC,City","City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,8,"NC","City","Manual","Apex,NC","Apex,NC,City","City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,9,"NC","City","Manual","Apex,NC","Apex,NC,City","City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,10,"NC","City","Manual","Apex,NC","Apex,NC,City","City"
"Apex",NA,NA,NA,NA,NA,NA,NA,2025,11,"NC","City","Manual","Apex,NC","Apex,NC,City","City"
"Greensboro",NA,NA,NA,NA,NA,NA,NA,2025,10,"NC","City","Manual","Greensboro,NC","Greensboro,NC,City","City"
"Greensboro",NA,NA,NA,NA,NA,NA,NA,2025,11,"NC","City","Manual","Greensboro,NC","Greensboro,NC,City","City"
"Grand Forks",NA,NA,NA,NA,NA,NA,NA,2025,11,"ND","City","Scrape","Grand Forks,ND","Grand Forks,ND,City","City"
"Nashua",NA,NA,NA,NA,NA,NA,NA,2025,2,"NH","City","Scrape","Nashua,NH","Nashua,NH,City","City"
"Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2025,10,"NY","City","CDE","Hempstead Village,NY","Hempstead Village,NY,City","City"
"Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2025,11,"NY","City","CDE","Hempstead Village,NY","Hempstead Village,NY,City","City"
"Nassau",NA,NA,NA,NA,NA,NA,NA,2025,5,"NY","County","CDE","Nassau,NY","Nassau,NY,County","County"
"Cleveland",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Cleveland,OH","Cleveland,OH,City","City"
"Columbus",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Columbus,OH","Columbus,OH,City","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","City","Manual","Hamilton,OH","Hamilton,OH,City","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Hamilton,OH","Hamilton,OH,City","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","City","Manual","Middletown,OH","Middletown,OH,City","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,9,"OH","City","Manual","Middletown,OH","Middletown,OH,City","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","City","Manual","Middletown,OH","Middletown,OH,City","City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Middletown,OH","Middletown,OH,City","City"
"Parma",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Parma,OH","Parma,OH,City","City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2025,9,"OH","City","Manual","Toledo,OH","Toledo,OH,City","City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","City","Manual","Toledo,OH","Toledo,OH,City","City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Toledo,OH","Toledo,OH,City","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,6,"OH","City","Manual","Youngstown,OH","Youngstown,OH,City","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,7,"OH","City","Manual","Youngstown,OH","Youngstown,OH,City","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,8,"OH","City","Manual","Youngstown,OH","Youngstown,OH,City","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,9,"OH","City","Manual","Youngstown,OH","Youngstown,OH,City","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","City","Manual","Youngstown,OH","Youngstown,OH,City","City"
"Youngstown",NA,NA,NA,NA,NA,NA,NA,2025,11,"OH","City","Manual","Youngstown,OH","Youngstown,OH,City","City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,7,"OR","City","Scrape","Albany,OR","Albany,OR,City","City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,8,"OR","City","Scrape","Albany,OR","Albany,OR,City","City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,9,"OR","City","Scrape","Albany,OR","Albany,OR,City","City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,10,"OR","City","Scrape","Albany,OR","Albany,OR,City","City"
"Albany",NA,NA,NA,NA,NA,NA,NA,2025,11,"OR","City","Scrape","Albany,OR","Albany,OR,City","City"
"Salem",NA,NA,NA,NA,NA,NA,NA,2025,11,"OR","City","Scrape","Salem,OR","Salem,OR,City","City"
"Haverford",NA,NA,NA,NA,NA,NA,NA,2025,10,"PA","City","Scrape","Haverford,PA","Haverford,PA,City","City"
"Haverford",NA,NA,NA,NA,NA,NA,NA,2025,11,"PA","City","Scrape","Haverford,PA","Haverford,PA,City","City"
"Beaufort",NA,NA,NA,NA,NA,NA,NA,2025,9,"SC","County","CDE","Beaufort,SC","Beaufort,SC,County","County"
"Beaufort",NA,NA,NA,NA,NA,NA,NA,2025,10,"SC","County","CDE","Beaufort,SC","Beaufort,SC,County","County"
"Beaufort",NA,NA,NA,NA,NA,NA,NA,2025,11,"SC","County","CDE","Beaufort,SC","Beaufort,SC,County","County"
"Horry",NA,NA,NA,NA,NA,NA,NA,2025,11,"SC","County","CDE","Horry,SC","Horry,SC,County","County"
"Bartlett",NA,NA,NA,NA,NA,NA,NA,2025,10,"TN","City","CDE","Bartlett,TN","Bartlett,TN,City","City"
"Bartlett",NA,NA,NA,NA,NA,NA,NA,2025,11,"TN","City","CDE","Bartlett,TN","Bartlett,TN,City","City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,11,"TN","County","CDE","Hamilton,TN","Hamilton,TN,County","County"
"Murfreesboro",NA,NA,NA,NA,NA,NA,NA,2025,11,"TN","City","CDE","Murfreesboro,TN","Murfreesboro,TN,City","City"
"Shelby",NA,NA,NA,NA,NA,NA,NA,2025,11,"TN","County","CDE","Shelby,TN","Shelby,TN,County","County"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","County","Scrape","Bexar,TX","Bexar,TX,County","County"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,11,"TX","County","Scrape","Bexar,TX","Bexar,TX,County","County"
"Desoto",NA,NA,NA,NA,NA,NA,NA,2025,11,"TX","City","Scrape","Desoto,TX","Desoto,TX,City","City"
"Harris",NA,NA,NA,NA,NA,NA,NA,2025,11,"TX","County","Scrape","Harris,TX","Harris,TX,County","County"
"Midland",NA,NA,NA,NA,NA,NA,NA,2025,11,"TX","City","Scrape","Midland,TX","Midland,TX,City","City"
