"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"TX0573300","Rowlett",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","Rowlett,TX","Rowlett,TX,City","City"
"OR0240200","Salem",NA,NA,NA,NA,NA,NA,NA,2026,1,"OR","City","Salem,OR","Salem,OR,City","City"
"TX2260100","San Angelo",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","San Angelo,TX","San Angelo,TX,City","City"
"CA0361000","San Bernardino",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","San Bernardino,CA","San Bernardino,CA,City","City"
"UT0180500","Sandy",NA,NA,NA,NA,NA,NA,NA,2026,1,"UT","City","Sandy,UT","Sandy,UT,City","City"
"CA0440200","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,2026,1,"CA","City","Santa Cruz,CA","Santa Cruz,CA,City","City"
"FL0580000","Sarasota",NA,NA,NA,NA,NA,NA,NA,2026,1,"FL","County","Sarasota,FL","Sarasota,FL,County","County"
"NY0450000","Saratoga",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","County","Saratoga,NY","Saratoga,NY,County","County"
"NB0770000","Sarpy",NA,NA,NA,NA,NA,NA,NA,2026,1,"NE","County","Sarpy,NE","Sarpy,NE,County","County"
"NY0460100","Schenectady",NA,NA,NA,NA,NA,NA,NA,2026,1,"NY","City","Schenectady,NY","Schenectady,NY,City","City"
"TX2120000","Smith",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","County","Smith,TX","Smith,TX,County","County"
"MA0093900","Somerville",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Somerville,MA","Somerville,MA,City","City"
"NV0160200","Sparks",NA,NA,NA,NA,NA,NA,NA,2026,1,"NV","City","Sparks,NV","Sparks,NV,City","City"
"WA0321500","Spokane Valley",NA,NA,NA,NA,NA,NA,NA,2026,1,"WA","City","Spokane Valley,WA","Spokane Valley,WA,City","City"
"VA0880000","Spotsylvania",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Spotsylvania,VA","Spotsylvania,VA,County","County"
"IL0840200","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,1,"IL","City","Springfield,IL","Springfield,IL,City","City"
"MA0071800","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,1,"MA","City","Springfield,MA","Springfield,MA,City","City"
"MO0390300","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,1,"MO","City","Springfield,MO","Springfield,MO,City","City"
"OH0120200","Springfield",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Springfield,OH","Springfield,OH,City","City"
"MO0922400","St Charles",NA,NA,NA,NA,NA,NA,NA,2026,1,"MO","County","St Charles,MO","St Charles,MO,County","County"
"MN0730400","St. Cloud",NA,NA,NA,NA,NA,NA,NA,2026,1,"MN","City","St. Cloud,MN","St. Cloud,MN,City","City"
"MD0190000","St. Mary's",NA,NA,NA,NA,NA,NA,NA,2026,1,"MD","County","St. Mary's,MD","St. Mary's,MD,County","County"
"VA0890000","Stafford",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","County","Stafford,VA","Stafford,VA,County","County"
"CT0013500","Stamford",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Stamford,CT","Stamford,CT,City","City"
"PA0140300","State College",NA,NA,NA,NA,NA,NA,NA,2026,1,"PA","City","State College,PA","State College,PA,City","City"
"MI5076500","Sterling Heights",NA,NA,NA,NA,NA,NA,NA,2026,1,"MI","City","Sterling Heights,MI","Sterling Heights,MI,City","City"
"CT0013800","Stratford",NA,NA,NA,NA,NA,NA,NA,2026,1,"CT","City","Stratford,CT","Stratford,CT,City","City"
"VA1270000","Suffolk",NA,NA,NA,NA,NA,NA,NA,2026,1,"VA","City","Suffolk,VA","Suffolk,VA,City","City"
"AZ0072700","Surprise",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Surprise,AZ","Surprise,AZ,City","City"
"TX0140700","Temple",NA,NA,NA,NA,NA,NA,NA,2026,1,"TX","City","Temple,TX","Temple,TX,City","City"
"IN0840100","Terre Haute",NA,NA,NA,NA,NA,NA,NA,2026,1,"IN","City","Terre Haute,IN","Terre Haute,IN,City","City"
"WA0340000","Thurston",NA,NA,NA,NA,NA,NA,NA,2026,1,"WA","County","Thurston,WA","Thurston,WA,County","County"
"OR0340400","Tigard",NA,NA,NA,NA,NA,NA,NA,2026,1,"OR","City","Tigard,OR","Tigard,OR,City","City"
"OH0480700","Toledo",NA,NA,NA,NA,NA,NA,NA,2026,1,"OH","City","Toledo,OH","Toledo,OH,City","City"
"AZ0100300","Tucson",NA,NA,NA,NA,NA,NA,NA,2026,1,"AZ","City","Tucson,AZ","Tucson,AZ,City","City"
