"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Bolingbrook","Illinois",FALSE,"Bolingbrook, Illinois",41.7003302,-88.0717708,73492,"State UCR","Open Source","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",TRUE
"Boone County","Kentucky",TRUE,"Boone County, Kentucky",38.962345,-84.7206912,111845,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Bossier City","Louisiana",FALSE,"Bossier City, Louisiana",32.515887,-93.7336536,63346,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Boston","Massachusetts",FALSE,"Boston, Massachusetts",42.3588336,-71.0578303,671262,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",TRUE
"Boulder","Colorado",FALSE,"Boulder, Colorado",40.0149856,-105.270545,106426,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",FALSE
"Bowie","Maryland",FALSE,"Bowie, Maryland",39.0080601,-76.7797899,58471,"Crime Data Explorer","Open Source","https://www.mwcog.org/public-safety-and-homeland-security/data-and-tools/crime-dashboard/",TRUE
"Bowling Green","Kentucky",FALSE,"Bowling Green, Kentucky",36.9929203,-86.4428677,80821,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Bozeman","Montana",FALSE,"Bozeman, Montana",45.6794293,-111.044047,58949,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Brazoria County","Texas",TRUE,"Brazoria County, Texas",29.18161,-95.4993375,143180,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Brentwood","California",FALSE,"Brentwood, California",37.9317766,-121.696026,66753,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Bridgeport","Connecticut",FALSE,"Bridgeport, Connecticut",41.1792695,-73.1887863,152588,"State UCR","Open Source","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",FALSE
"Bristol","Connecticut",FALSE,"Bristol, Connecticut",41.6711752,-72.9430128,62563,"State UCR","Open Source","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx",TRUE
"Brockton","Massachusetts",FALSE,"Brockton, Massachusetts",42.0834335,-71.0183787,105571,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",TRUE
"Broken Arrow","Oklahoma",FALSE,"Broken Arrow, Oklahoma",36.0525993,-95.7908195,101688,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Brookhaven","Georgia",FALSE,"Brookhaven, Georgia",33.8584368,-84.340203,60038,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",FALSE
"Brookline","Massachusetts",FALSE,"Brookline, Massachusetts",42.332918,-71.1187829,63981,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",FALSE
