"agency_name","state_name","is_county","address","lat","long"
"Los Angeles County","California",TRUE,"Los Angeles County, California",34.3155072,-118.209681
"Loudoun County","Virginia",TRUE,"Loudoun County, Virginia",39.0984586,-77.6705008
"Louisville","Kentucky",FALSE,"Louisville, Kentucky",38.2542376,-85.759407
"Loveland","Colorado",FALSE,"Loveland, Colorado",40.3977612,-105.07498
"Lowell","Massachusetts",FALSE,"Lowell, Massachusetts",42.6414437,-71.3085329
"Lower Merion","Pennsylvania",FALSE,"Lower Merion, Pennsylvania",40.0250214,-75.2768881382829
"Lower Paxton","Pennsylvania",FALSE,"Lower Paxton, Pennsylvania",40.318975,-76.8002408231975
"Lubbock","Texas",FALSE,"Lubbock, Texas",33.5855677,-101.8470215
"Lynchburg","Virginia",FALSE,"Lynchburg, Virginia",37.4137536,-79.1422464
"Lynn","Massachusetts",FALSE,"Lynn, Massachusetts",42.466763,-70.9494939
"Macomb County","Michigan",TRUE,"Macomb County, Michigan",42.6741189,-82.902901
"Malden","Massachusetts",FALSE,"Malden, Massachusetts",42.4268484,-71.0683741
"Manchester","Connecticut",FALSE,"Manchester, Connecticut",41.7834017,-72.5231973
"Manchester","New Hampshire",FALSE,"Manchester, New Hampshire",42.9956397,-71.4547891
"Mansfield","Texas",FALSE,"Mansfield, Texas",32.563487,-97.1420308
"Maple Grove","Minnesota",FALSE,"Maple Grove, Minnesota",45.0984983,-93.4419222
"Marana","Arizona",FALSE,"Marana, Arizona",32.4483736,-111.211475
"Maricopa","Arizona",FALSE,"Maricopa, Arizona",33.34883,-112.49123
"McAllen","Texas",FALSE,"McAllen, Texas",26.204114,-98.2300605
"Mckinney","Texas",FALSE,"Mckinney, Texas",33.1976496,-96.6154471
"Medford","Massachusetts",FALSE,"Medford, Massachusetts",42.4184296,-71.1061639
"Medford","Oregon",FALSE,"Medford, Oregon",42.3264181,-122.8718605
"Memphis","Tennessee",FALSE,"Memphis, Tennessee",35.1460249,-90.0517638
"Meriden","Connecticut",FALSE,"Meriden, Connecticut",41.5381535,-72.8070435
"Meridian","Idaho",FALSE,"Meridian, Idaho",43.6086295,-116.392326
"Mesa","Arizona",FALSE,"Mesa, Arizona",33.4151005,-111.831455
"Mesquite","Texas",FALSE,"Mesquite, Texas",32.7666103,-96.599472
"Methuen","Massachusetts",FALSE,"Methuen, Massachusetts",42.7262016,-71.1908924
"Miami Beach","Florida",FALSE,"Miami Beach, Florida",25.7929198,-80.1353006
"Middletown","Ohio",FALSE,"Middletown, Ohio",39.516644,-84.4041725
"Midland","Texas",FALSE,"Midland, Texas",31.83688,-102.0103767
"Milford","Connecticut",FALSE,"Milford, Connecticut",41.2222218,-73.0570603
